"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"산업중분류별(1)",산업중분류별(2),계,18세 미만,18~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60세 이상,계,18세 미만,18~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60세 이상,계,18세 미만,18~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60세 이상,분류불능,계,18세 미만,18~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60세 이상,계,18세 미만,18~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60세 이상
"제조업",기계기구·비금속광물제품·금속제품제조업 또는 금속가공업,-,-,-,-,-,-,-,-,-,-,-,9485,0,315,596,690,925,861,1026,1344,1663,2065,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구 비금속광물 및 금속제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13764,2,406,940,1017,1246,1449,1638,2024,2292,2750,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구·금속·비금속광물제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14121,0,391,898,1039,1243,1438,1596,1896,2272,3348,14891,0,363,831,1002,1157,1544,1550,2057,2187,4200
"제조업",금속제련업,83,0,0,9,8,14,10,10,14,6,12,121,0,1,9,25,18,6,10,12,9,31,152,0,2,12,18,26,16,15,17,18,28,0,167,0,0,11,25,24,25,7,13,11,51,275,0,4,6,38,47,44,23,19,17,77
"제조업",도금업,428,0,11,37,39,40,43,54,58,74,72,491,0,14,35,38,49,41,65,68,84,97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구제조업,3873,1,159,277,344,382,378,470,605,631,626,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구제조업,654,0,45,55,42,96,81,83,100,90,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구·전자제품·계량기·광학기계·기타정밀기구 제조업,-,-,-,-,-,-,-,-,-,-,-,1512,0,110,195,198,184,171,196,172,160,126,1701,0,111,202,204,214,234,198,187,181,170,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구·정밀기구·전자제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1725,0,93,207,216,208,209,192,221,199,180,1914,0,123,216,249,218,236,208,228,207,229
"제조업",전자제품제조업,463,1,34,68,75,74,61,54,45,32,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",선박건조 및 수리업,1953,0,19,34,100,189,175,185,182,342,727,1848,0,14,25,62,150,175,212,201,283,726,2306,0,23,38,66,210,236,289,262,355,827,0,2492,0,22,47,78,229,336,307,307,330,836,3125,0,15,57,78,231,388,363,349,416,1228
"제조업",수송용기계기구 제조업,2199,0,84,149,186,271,291,359,337,320,202,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수송용기계기구 제조업·자동차 및 모터사이클 수리업,-,-,-,-,-,-,-,-,-,-,-,3033,0,104,212,225,341,412,470,475,486,308,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",계량기·광학기계·기타정밀기구 제조업,275,0,27,36,33,36,22,38,34,23,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수제품제조업,148,0,6,11,7,12,17,12,22,33,28,153,0,3,16,13,13,16,13,24,29,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",수제품 및 기타제품 제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1151,0,29,74,85,91,117,133,170,177,275,0,1141,0,40,75,85,87,116,120,158,187,273,1262,0,30,88,81,96,117,155,175,180,340
"제조업",섬유 또는 섬유제품 제조업(을),677,0,30,50,54,42,51,92,103,122,133,717,0,18,42,54,52,49,86,133,126,157,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",자동차 및 모터사이클 수리업,504,0,25,49,37,55,64,85,69,53,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",코크스 연탄 및 석유정제품 제조업,48,0,0,0,6,1,5,2,1,4,29,76,0,0,7,3,3,1,4,7,9,42,64,0,0,5,4,7,3,4,6,4,31,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기타제조업,1019,0,29,75,75,84,106,139,135,162,214,1006,0,31,62,58,74,87,146,149,188,211,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전기·가스·증기 및 수도사업",소계,87,0,2,7,11,8,9,8,21,12,9,108,0,1,12,14,11,13,16,18,13,10,111,0,4,16,16,5,12,11,18,13,16,0,105,0,0,12,11,12,8,12,17,13,20,130,0,2,15,18,10,16,11,13,23,22
"전기·가스·증기 및 수도사업",전기·가스·증기 및 수도사업,87,0,2,7,11,8,9,8,21,12,9,108,0,1,12,14,11,13,16,18,13,10,111,0,4,16,16,5,12,11,18,13,16,0,105,0,0,12,11,12,8,12,17,13,20,130,0,2,15,18,10,16,11,13,23,22
"건설업",소계,25649,1,181,437,632,1074,1762,3129,4358,5563,8512,27686,0,184,503,705,1232,1852,3237,4573,6026,9374,27211,0,145,515,674,1102,1706,2952,4424,5790,9903,0,26799,0,154,509,698,1035,1656,2707,4213,5470,10357,29943,1,175,611,839,1109,1693,2614,4425,5592,12884
