"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"산업중분류별(1)",산업중분류별(2),요양재해자,사망자,6개월 이상,91~180일,29~90일,15~28일,8~14일,4~7일,요양재해자,사망자,6개월 이상,91~180일,29~90일,15~28일,8~14일,4~7일,요양재해자,사망자,6개월 이상,91~180일,29~90일,15~28일,8~14일,4~7일,요양재해자,사망자,6개월 이상,91~180일,29~90일,15~28일,8~14일,4~7일,요양재해자,사망자,6개월 이상,91~180일,29~90일,15~28일,8~14일,4~7일
"제조업",코크스 연탄 및 석유정제품 제조업,48,9,9,10,13,0,0,7,76,9,19,17,17,2,2,10,64,7,16,19,11,2,1,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기타제조업,1019,26,212,400,314,41,10,13,1006,20,252,376,290,43,13,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전기·가스·증기 및 수도사업",소계,87,4,18,35,21,5,2,1,108,5,22,47,24,6,0,2,111,5,28,34,32,4,3,3,105,9,29,32,24,8,1,1,130,4,37,30,40,10,1,8
"전기·가스·증기 및 수도사업",전기·가스·증기 및 수도사업,87,4,18,35,21,5,2,1,108,5,22,47,24,6,0,2,111,5,28,34,32,4,3,3,105,9,29,32,24,8,1,1,130,4,37,30,40,10,1,8
"건설업",소계,25649,579,6763,9753,6638,1327,356,154,27686,570,7783,10761,6430,1454,399,195,27211,517,7981,10286,6478,1324,318,228,26799,567,8355,10159,5874,1210,283,263,29943,551,8877,11200,6998,1372,415,415
"건설업",건설업,25649,579,6763,9753,6638,1327,356,154,27686,570,7783,10761,6430,1454,399,195,27211,517,7981,10286,6478,1324,318,228,26799,567,8355,10159,5874,1210,283,263,29943,551,8877,11200,6998,1372,415,415
"운수·창고 및 통신업",소계,4237,121,948,1309,1346,389,81,29,5291,157,1176,1607,1746,447,119,28,6173,153,1303,1799,2089,637,142,35,7251,150,1470,2041,2537,829,164,39,10091,158,1876,2712,3616,1276,363,76
"운수·창고 및 통신업",철도·궤도 및 삭도운수업,114,11,29,33,32,4,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",철도·궤도·삭도·항공운수업,-,-,-,-,-,-,-,-,341,6,53,94,138,32,16,2,466,7,63,100,176,97,18,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",철도·항공·창고·운수관련서비스업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2402,36,521,714,857,202,38,24,2854,50,590,804,955,281,129,43
"운수·창고 및 통신업",자동차운수업 및 택배업 퀵서비스업,2213,75,511,597,726,233,53,14,2679,96,619,739,888,247,66,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"운수·창고 및 통신업",육상 및 수상운수업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3528,104,770,990,1213,338,84,20,4607,108,898,1255,1604,603,117,13,6942,104,1214,1836,2559,964,225,30
"운수·창고 및 통신업",수상운수업 항만하역 및 화물취급사업,1206,19,254,435,371,98,17,7,1377,30,303,485,426,103,22,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
