"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"산업중분류별(1)",산업중분류별(2),계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능,계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능,계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능,계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능,계,6개월 미만,6개월~1년 미만,1~2년 미만,2~3년 미만,3~4년 미만,4~5년 미만,5~10년 미만,10년 이상,분류불능
"제조업",기계기구 비금속광물 및 금속제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13764,4288,1450,1720,1006,743,557,1491,2508,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구·금속·비금속광물제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14121,3927,1428,1874,1156,791,611,1688,2644,2,14891,4260,1313,1598,1190,889,628,1872,3138,3
"제조업",금속제련업,83,6,9,6,9,6,2,20,25,0,121,10,9,5,15,12,7,30,33,0,152,10,8,14,8,18,11,32,51,0,167,7,10,14,10,9,9,46,62,0,275,16,10,14,14,11,15,72,123,0
"제조업",도금업,428,145,45,55,43,27,18,57,36,2,491,178,62,62,39,32,20,53,45,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구제조업,3873,1471,418,488,333,213,163,420,364,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구제조업,654,206,84,97,50,30,29,75,82,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구·전자제품·계량기·광학기계·기타정밀기구 제조업,-,-,-,-,-,-,-,-,-,-,1512,423,163,228,130,85,62,198,223,0,1701,440,191,239,111,102,81,264,270,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",전기기계기구·정밀기구·전자제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1725,445,208,241,146,105,75,263,242,0,1914,509,200,250,171,105,90,280,309,0
"제조업",전자제품제조업,463,131,52,51,30,32,26,73,68,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",선박건조 및 수리업,1953,502,134,121,82,38,59,156,859,2,1848,442,117,142,74,58,39,150,826,0,2306,567,139,157,84,80,57,179,1043,0,2492,569,181,203,98,63,72,217,1089,0,3125,580,184,257,176,103,90,340,1395,0
