"산업중분류별(1)",산업중분류별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"산업중분류별(1)",산업중분류별(2),계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능,계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능,계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능,계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,광산사고,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능,계,떨어짐,넘어짐,부딪힘,물체에 맞음,무너짐,끼임,절단·베임·찔림,감전,폭발·파열,화재,깔림·뒤집힘,이상온도 물체접촉,빠짐·익사,불균형 및 무리한 동작,화학물질 누출·접촉,산소결핍,사업장내 교통사고,사업장외 교통사고,업무상질병,체육행사등의 사고,폭력행위,동물상해,기타,분류불능
"제조업",의약품·화장품향료·담배제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,197,12,32,11,7,1,59,16,2,4,1,4,12,0,7,6,0,0,0,17,6,0,0,0,0,259,13,38,10,11,1,83,15,2,4,0,4,17,0,8,6,0,0,2,35,10,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",의약품·화장품·연탄·석유제품제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,308,20,32,29,12,1,91,21,3,2,4,1,16,0,0,11,3,0,0,5,56,1,0,0,0,0,314,15,34,16,9,1,81,23,0,4,4,4,16,0,14,8,0,0,9,75,1,0,0,0,0
"제조업",고무제품제조업,588,20,38,49,22,0,210,38,1,0,3,3,13,0,26,0,1,0,3,153,8,0,0,0,0,688,18,56,50,22,2,217,44,0,1,1,4,14,0,38,1,0,0,2,211,7,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",유리제조업,205,17,18,26,21,0,30,46,0,0,0,20,1,0,7,0,0,0,0,19,0,0,0,0,0,193,18,17,14,23,1,21,43,0,1,0,12,0,0,8,3,0,0,1,29,2,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",유리·도자기·시멘트제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,675,92,69,61,60,4,151,45,2,1,3,22,5,0,27,1,0,1,11,113,4,2,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",도자기 및 기타요업제품 제조업,390,80,44,34,20,1,126,16,2,0,2,2,5,0,8,1,0,0,11,35,1,1,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",도자기·기타요업제품·시멘트제조업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,476,90,51,41,20,3,142,14,0,1,1,6,11,0,20,3,0,0,11,56,5,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",시멘트제조업,49,3,5,5,4,0,13,1,1,0,0,0,1,0,2,0,0,0,0,14,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",비금속광물제품 및 금속제품제조업 또는 금속가공업,5079,395,335,386,547,15,1819,448,12,19,18,206,134,0,80,9,0,0,27,598,21,2,2,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제조업",기계기구·비금속광물제품·금속제품제조업 또는 금속가공업,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9485,826,644,773,1087,39,3008,822,44,48,30,316,230,0,205,25,0,1,82,1222,65,8,4,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
